key,manufacturer,ID,type,V,k_t,R,L,mass,inertia,omega_nl,I_nl,I_nom,max_int_torque,max_int_speed,max_cont_speed,max_cont_power,coulomb_friction,viscous_friction,Rth1,Rth2
FH_3274G024BP4,Faulhaber,3274G024BP4,BLDC,24.0,0.0284,0.25,6e-05,0.32,4.8e-06,911.06186954104,0.384,6.9,inf,1675.5160819145565,864.9851772883898,inf,0.0029,7.830423200121251e-06,0.7,8.0
FH_2264W012BP4,Faulhaber,2264W012BP4,BLDC,12.0,0.005900000000000001,0.05,6e-06,0.14,9.2e-07,2199.114857512855,0.521,11.9,inf,3612.831551628262,2142.5661897482387,inf,0.00041,1.098169107334078e-06,1.2,12.0
FH_2264W024BP4,Faulhaber,2264W024BP4,BLDC,24.0,0.0118,0.22,2.4e-05,0.14,9.2e-07,2209.586833024821,0.261,6.0,inf,3612.831551628262,2145.707782401829,inf,0.00041,1.098169107334078e-06,1.2,12.0
FH_2264W048BP4,Faulhaber,2264W048BP4,BLDC,48.0,0.023600000000000003,0.8809999999999999,9.13e-05,0.14,9.21e-07,2209.586833024821,0.13,2.94,inf,3612.831551628262,2146.7549799530248,inf,0.000407,1.098169107334078e-06,1.2,12.0
FH_2214S006BXTH,Faulhaber,2214S006BXTH,BLDC,6.0,0.00958,2.42,0.000271,0.0289,3.3e-07,603.1857894892403,0.061,1.16,inf,1047.1975511965975,131.94689145077132,inf,,,,
FH_2214S012BXTH,Faulhaber,2214S012BXTH,BLDC,12.0,0.017,6.95,0.0008839999999999998,0.0289,3.3e-07,680.6784082777884,0.04,0.653,inf,1047.1975511965975,275.4129559647052,inf,,,,
FH_2214S024BXTH,Faulhaber,2214S024BXTH,BLDC,24.0,0.032200000000000006,25.9,0.00315,0.0289,3.3e-07,729.8966931840284,0.016,0.36,inf,1047.1975511965975,283.790536374278,inf,,,,
FH_3216W009BXTH,Faulhaber,3216W009BXTH,BLDC,9.0,0.013800000000000002,0.55,0.000191,0.0653,1.83e-06,634.6017160251382,0.165,2.76,inf,1047.1975511965975,356.0471674068432,inf,,,,
FH_3216W012BXTH,Faulhaber,3216W012BXTH,BLDC,12.0,0.018000000000000002,0.88,0.000331,0.0653,1.83e-06,652.4040743954804,0.126,2.18,inf,1047.1975511965975,404.2182547618866,inf,,,,
FH_3216W024BXTH,Faulhaber,3216W024BXTH,BLDC,24.0,0.0358,3.26,0.0012900000000000001,0.0653,1.83e-06,654.4984694978735,0.068,1.1,inf,1047.1975511965975,452.38934211693015,inf,,,,
FH_4221G018BXTH,Faulhaber,4221G018BXTH,BLDC,18.0,0.0298,0.46,0.000396,0.14200000000000002,6.900000000000001e-06,597.9498017332572,0.177,3.33,inf,1047.1975511965975,416.7846253762458,inf,,,,
FH_4221G024BXTH,Faulhaber,4221G024BXTH,BLDC,24.0,0.0377,0.74,0.000664,0.14200000000000002,6.900000000000001e-06,632.507320922745,0.139,2.87,inf,1047.1975511965975,458.67252742410983,inf,,,,
FH_4221G048BXTH,Faulhaber,4221G048BXTH,BLDC,48.0,0.0752,2.6,0.00255,0.14200000000000002,6.900000000000001e-06,635.6489135763347,0.10300000000000001,1.39,inf,1047.1975511965975,492.1828490624009,inf,,,,
FH_3242G012BX4,Faulhaber,3242G012BX4,BLDC,12.0,0.0207,0.92,6e-05,0.179,3e-06,586.4306286700947,0.179,2.43,inf,1780.235837034216,481.7108735504349,inf,0.0013000000000000002,3.9152116000606255e-06,2.3,11.6
FH_3242G018BX4,Faulhaber,3242G018BX4,BLDC,18.0,0.0314,2.01,0.00013199999999999998,0.179,3e-06,575.9586531581288,0.11699999999999999,1.64,inf,1780.235837034216,479.6164784480417,inf,0.0013000000000000002,3.9152116000606255e-06,2.3,11.6
FH_3242G024BX4,Faulhaber,3242G024BX4,BLDC,24.0,0.0414,3.67,0.00024,0.179,3e-06,586.4306286700947,0.08900000000000001,1.21,inf,1780.235837034216,481.7108735504349,inf,0.0013000000000000002,3.9152116000606255e-06,2.3,11.6
FH_3242G036BX4,Faulhaber,3242G036BX4,BLDC,36.0,0.0628,8.96,0.000529,0.179,3e-06,575.9586531581288,0.059000000000000004,0.78,inf,1780.235837034216,469.14450293607575,inf,0.0013000000000000002,3.9152116000606255e-06,2.3,11.6
FH_3242G042BX4,Faulhaber,3242G042BX4,BLDC,42.0,0.0731,11.7,0.000719,0.179,3e-06,575.9586531581288,0.05,0.68,inf,1780.235837034216,473.3332931408622,inf,0.0013000000000000002,3.9152116000606255e-06,2.3,11.6
FH_3242G048BX4,Faulhaber,3242G048BX4,BLDC,48.0,0.08370000000000001,15.1,0.0009400000000000001,0.179,3e-06,575.9586531581288,0.044000000000000004,0.6,inf,1780.235837034216,474.38049069205874,inf,0.0013000000000000002,3.9152116000606255e-06,2.3,11.6
FH_3268G018BX4,Faulhaber,3268G018BX4,BLDC,18.0,0.0343,0.92,6.759999999999999e-05,0.29,6.3e-06,534.0707511102648,0.22,2.63,inf,1256.6370614359173,476.474885794452,inf,0.0016,1.0504226244065096e-05,1.7,8.8
FH_3268G024BX4,Faulhaber,3268G024BX4,BLDC,24.0,0.0435,1.47,0.00011,0.29,6.3e-06,575.9586531581288,0.183,2.0,inf,1256.6370614359173,512.0796025351361,inf,0.0016,1.0504226244065096e-05,1.7,8.8
FH_3268G030BX4,Faulhaber,3268G030BX4,BLDC,30.0,0.0515,2.08,0.00015199999999999998,0.29,6.3e-06,596.9026041820608,0.162,1.66,inf,1256.6370614359173,545.5899241734272,inf,0.0016,1.0504226244065096e-05,1.7,8.8
FH_3268G036BX4,Faulhaber,3268G036BX4,BLDC,36.0,0.06440000000000001,3.23,0.000238,0.29,6.3e-06,575.9586531581288,0.124,1.36,inf,1256.6370614359173,518.3627878423158,inf,0.0016,1.0504226244065096e-05,1.7,8.8
FH_3268G042BX4,Faulhaber,3268G042BX4,BLDC,42.0,0.0772,4.83,0.000342,0.29,6.3e-06,555.0147021341968,0.10099999999999999,1.13,inf,1256.6370614359173,497.41883681838385,inf,0.0016,1.0504226244065096e-05,1.7,8.8
FH_3268G048BX4,Faulhaber,3268G048BX4,BLDC,48.0,0.0858,6.06,0.00042300000000000004,0.29,6.3e-06,575.9586531581288,0.09300000000000001,1.0,inf,1256.6370614359173,515.2211951887259,inf,0.0016,1.0504226244065096e-05,1.7,8.8
FH_2250S012BX4,Faulhaber,2250S012BX4,BLDC,12.0,0.019,1.55,6.28e-05,0.105,1e-06,628.3185307179588,0.128,1.66,inf,2094.3951023931954,496.37163926718733,inf,0.0008,2.4828171122335672e-06,3.5,15.0
FH_2250S018BX4,Faulhaber,2250S018BX4,BLDC,18.0,0.027000000000000003,3.17,0.000126,0.105,1e-06,670.2064327658226,0.094,1.15,inf,2094.3951023931954,538.2595413150514,inf,0.0008,2.4828171122335672e-06,3.5,15.0
FH_2250S024BX4,Faulhaber,2250S024BX4,BLDC,24.0,0.0375,5.9,0.00025,0.105,1e-06,649.2624817418905,0.066,0.85,inf,2094.3951023931954,509.9852074327431,inf,0.0008,2.4828171122335672e-06,3.5,15.0
FH_2232S006BX4,Faulhaber,2232S006BX4,BLDC,6.0,0.00797,0.73,2.5e-05,0.065,5.1e-07,743.5102613495842,0.16,2.22,inf,3036.872898470133,526.7403682518886,inf,0.00045999999999999996,1.0504226244065094e-06,3.9,18.8
FH_2232S012BX4,Faulhaber,2232S012BX4,BLDC,12.0,0.017,3.5,0.000115,0.065,5.1e-07,701.6223593017204,0.07200000000000001,1.0,inf,3036.872898470133,466.00291028248597,inf,0.00045999999999999996,1.0504226244065094e-06,3.9,18.8
FH_2232S015BX4,Faulhaber,2232S015BX4,BLDC,15.0,0.0199,4.58,0.000156,0.065,5.1e-07,743.5102613495842,0.06,0.89,inf,3036.872898470133,527.7875658030853,inf,0.00045999999999999996,1.0504226244065094e-06,3.9,18.8
FH_2232S018BX4,Faulhaber,2232S018BX4,BLDC,18.0,0.0239,7.04,0.000225,0.065,5.1e-07,743.5102613495842,0.053,0.72,inf,3036.872898470133,516.2683927399227,inf,0.00045999999999999996,1.0504226244065094e-06,3.9,18.8
FH_2232S024BX4,Faulhaber,2232S024BX4,BLDC,24.0,0.0324,12.5,0.00041,0.065,5.1e-07,743.5102613495842,0.039,0.54,inf,3036.872898470133,506.8436147791532,inf,0.00045999999999999996,1.0504226244065094e-06,3.9,18.8
FH_1226S006B,Faulhaber,1226S006B,BLDC,6.0,0.00268,2.2,3.6e-05,0.013,1.5e-08,2199.114857512855,0.07,0.932,inf,8272.860654453121,1306.9025438933538,inf,7.3e-05,5.0611271903222723e-08,7.3,36.6
FH_1226S012B,Faulhaber,1226S012B,BLDC,12.0,0.00412,5.45,8.499999999999999e-05,0.013,1.5e-08,2869.321290278677,0.054000000000000006,0.573,inf,8272.860654453121,2059.8375832037077,inf,7.3e-05,5.0611271903222723e-08,7.3,36.6
FH_1226S024B,Faulhaber,1226S024B,BLDC,24.0,0.00772,18.1,0.000307,0.013,1.5e-08,3110.1767270538953,0.031,0.311,inf,8272.860654453121,2318.4953783492674,inf,7.3e-05,5.0611271903222723e-08,7.3,36.6
FH_1628T012B,Faulhaber,1628T012B,BLDC,12.0,0.00361,4.36,0.000134,0.03,5.4e-08,3225.368457685521,0.087,0.8290000000000001,inf,7330.382858376182,2003.2889154390914,inf,0.000148,5.0897750800788135e-08,5.6,22.5
FH_1628T024B,Faulhaber,1628T024B,BLDC,24.0,0.0070799999999999995,15.2,0.000517,0.03,5.4e-08,3309.1442617812486,0.045,0.442,inf,7330.382858376182,2150.9437701578117,inf,0.000148,5.0897750800788135e-08,5.6,22.5
FH_4490H024BS,Faulhaber,4490H024BS,BLDC,24.0,0.042,0.66,0.000219,0.742,1.3000000000000001e-05,575.9586531581288,0.161,5.1,inf,1675.5160819145565,517.3155902911193,inf,0.00386,4.9656342244671344e-06,0.96,3.9
FH_4490H036BS,Faulhaber,4490H036BS,BLDC,36.0,0.0588,1.31,0.00043,0.742,1.3000000000000001e-05,617.8465552059928,0.11900000000000001,3.59,inf,1675.5160819145565,563.3922825437695,inf,0.00386,4.9656342244671344e-06,0.96,3.9
FH_4490H048BS,Faulhaber,4490H048BS,BLDC,48.0,0.0756,2.1,0.0007109999999999999,0.742,1.3000000000000001e-05,638.7905062299245,0.094,2.83,inf,1675.5160819145565,591.6666164260778,inf,0.00386,4.9656342244671344e-06,0.96,3.9
FH_2444S024B,Faulhaber,2444S024B,BLDC,24.0,0.0103,2.0,0.000175,0.098,5.699999999999999e-07,2324.778563656447,0.159,1.58,inf,4712.38898038469,1968.731396249604,inf,0.000746,3.69557777859381e-07,2.4,11.6
FH_2444S048B,Faulhaber,2444S048B,BLDC,48.0,0.0212,8.54,0.00074,0.098,5.699999999999999e-07,2261.946710584651,0.076,0.772,inf,4712.38898038469,1895.4275676658415,inf,0.000746,3.69557777859381e-07,2.4,11.6
FH_0620K006B,Faulhaber,0620K006B,BLDC,6.0,0.00109,8.8,2.8000000000000003e-05,0.0025,9.5e-10,5089.3800988154635,0.055999999999999994,0.311,inf,10471.975511965977,2284.985056710976,inf,1.1e-05,9.740282517223995e-09,13.2,84.3
FH_0620K012B,Faulhaber,0620K012B,BLDC,12.0,0.00282,60.2,0.000192,0.0025,9.5e-10,3906.046865963309,0.018000000000000002,0.122,inf,10471.975511965977,763.4070148223196,inf,1.1e-05,9.740282517223995e-09,13.2,84.3
FH_2057S024BA,Faulhaber,2057S024BA,BLDC,24.0,0.0055,0.42700000000000005,3.6200000000000006e-05,0.1,3e-07,4639.085151800928,0.17800000000000002,3.0,inf,6806.784082777885,4523.893421169302,inf,5.59e-05,1.8621128341751762e-07,1.1,15.0
FH_2036U012B,Faulhaber,2036U012B,BLDC,12.0,0.00596,3.24,0.000145,0.055999999999999994,1.95e-07,1968.731396249604,0.08900000000000001,1.14,inf,5759.586531581286,1196.946801017711,inf,0.00022,1.56608464002425e-07,4.1,16.6
FH_2036U024B,Faulhaber,2036U024B,BLDC,24.0,0.0122,13.4,0.0006129999999999999,0.055999999999999994,1.95e-07,1926.8434942017402,0.043,0.5589999999999999,inf,5759.586531581286,1152.9645038674541,inf,0.00022,1.56608464002425e-07,4.1,16.6
FH_2036U036B,Faulhaber,2036U036B,BLDC,36.0,0.0166,26.4,0.001132,0.055999999999999994,1.95e-07,2125.811028929093,0.033,0.396,inf,5759.586531581286,1341.4600630828415,inf,0.00022,1.56608464002425e-07,4.1,16.6
FH_2036U048B,Faulhaber,2036U048B,BLDC,48.0,0.024100000000000003,62.3,0.00239,0.055999999999999994,1.95e-07,1937.3154697137054,0.022000000000000002,0.26,inf,5759.586531581286,1094.3214410004446,inf,0.00022,1.56608464002425e-07,4.1,16.6
FH_3564K012B,Faulhaber,3564K012B,BLDC,12.0,0.0137,0.56,8.999999999999999e-05,0.311,3.49e-06,869.1739674931761,0.198,4.43,inf,3036.872898470133,645.0736915371043,inf,0.0012,1.7188733853924703e-06,1.6,6.2
FH_3564K024B,Faulhaber,3564K024B,BLDC,24.0,0.0199,1.1,0.00019,0.311,3.49e-06,1204.2771838760873,0.166,3.04,inf,3036.872898470133,1007.4040442511271,inf,0.0012,1.7188733853924703e-06,1.6,6.2
FH_3564K036B,Faulhaber,3564K036B,BLDC,36.0,0.0296,2.61,0.00041,0.311,3.49e-06,1214.7491593880534,0.11199999999999999,1.98,inf,3036.872898470133,1009.4984393535201,inf,0.0012,1.7188733853924703e-06,1.6,6.2
FH_3564K048B,Faulhaber,3564K048B,BLDC,48.0,0.0358,4.1,0.0006399999999999999,0.311,3.49e-06,1340.4128655316451,0.099,1.55,inf,3036.872898470133,1130.9733552923256,inf,0.0012,1.7188733853924703e-06,1.6,6.2
FH_1218S006B,Faulhaber,1218S006B,BLDC,6.0,0.00181,3.14,3.5e-05,0.0083,8e-09,3193.9525311496227,0.08900000000000001,0.6629999999999999,inf,8272.860654453121,1914.2771235873806,inf,6.6e-05,2.9220847551671988e-08,10.6,48.3
FH_1218S012B,Faulhaber,1218S012B,BLDC,12.0,0.00351,12.0,0.00013199999999999998,0.0083,8e-09,3298.6722862692827,0.047,0.34,inf,8272.860654453121,2005.3833105414844,inf,6.6e-05,2.9220847551671988e-08,10.6,48.3
FH_0824K006B,Faulhaber,0824K006B,BLDC,6.0,0.0016,2.91,3e-05,0.005200000000000001,2.85e-09,3675.663404700058,0.055,0.66,inf,9424.77796076938,2316.400983246874,inf,2.1e-05,1.804817054662093e-08,11.2,55.2
FH_0824K012B,Faulhaber,0824K012B,BLDC,12.0,0.003,10.7,0.00010700000000000001,0.005200000000000001,2.85e-09,3926.990816987241,0.031,0.341,inf,9424.77796076938,2571.917185738844,inf,2.1e-05,1.804817054662093e-08,11.2,55.2
FH_1028S006B,Faulhaber,1028S006B,BLDC,6.0,0.00176,1.08,2.4e-05,0.0094,6.22e-09,3382.4480903650106,0.121,1.16,inf,8272.860654453121,2687.108916370469,inf,5.9999999999999995e-05,4.4117750225073394e-08,6.6,42.4
FH_1028S012B,Faulhaber,1028S012B,BLDC,12.0,0.00338,4.37,8.7e-05,0.0094,6.22e-09,3518.583772020568,0.065,0.57,inf,8272.860654453121,2806.4894372068816,inf,5.9999999999999995e-05,4.4117750225073394e-08,6.6,42.4
FH_3056K012B,Faulhaber,3056K012B,BLDC,12.0,0.0129,1.5,0.00016,0.192,1.5e-06,921.533845053006,0.128,2.4,inf,3665.191429188092,559.2034923389832,inf,0.0008100000000000001,9.071831756238035e-07,2.2,7.9
FH_3056K024B,Faulhaber,3056K024B,BLDC,24.0,0.0278,6.4,0.00074,0.192,1.5e-06,848.2300164692441,0.057,1.17,inf,3665.191429188092,504.74921967676005,inf,0.0008100000000000001,9.071831756238035e-07,2.2,7.9
FH_3056K036B,Faulhaber,3056K036B,BLDC,36.0,0.0381,12.3,0.0014,0.192,1.5e-06,932.0058205649719,0.044000000000000004,0.838,inf,3665.191429188092,586.4306286700947,inf,0.0008100000000000001,9.071831756238035e-07,2.2,7.9
FH_3056K048B,Faulhaber,3056K048B,BLDC,48.0,0.0508,23.6,0.0026,0.192,1.5e-06,932.0058205649719,0.033,0.605,inf,3665.191429188092,570.7226654021458,inf,0.0008100000000000001,9.071831756238035e-07,2.2,7.9
FH_1645S024BHS,Faulhaber,1645S024BHS,BLDC,24.0,0.0039,0.684,4.6e-05,0.0582,5.8999999999999986e-08,6492.624817418906,0.0988,1.86,inf,10471.975511965977,6419.320988835144,inf,0.00011399999999999999,4.287634166895661e-08,3.1,22.0
FH_1645S036BHS,Faulhaber,1645S036BHS,BLDC,36.0,0.00579,1.51,0.000103,0.0582,5.8999999999999986e-08,6586.8725970266005,0.0674,1.24,inf,10471.975511965977,6503.096792930872,inf,0.00011399999999999999,4.287634166895661e-08,3.1,22.0
FH_1645S048BHS,Faulhaber,1645S048BHS,BLDC,48.0,0.00788,2.81,0.00019,0.0582,5.8999999999999986e-08,6429.792964347111,0.0486,0.924,inf,10471.975511965977,6346.017160251382,inf,0.00011399999999999999,4.287634166895661e-08,3.1,22.0
FH_1660S024BHT,Faulhaber,1660S024BHT,BLDC,24.0,0.006980000000000001,0.49,5.2000000000000004e-05,0.078,1.2e-07,3654.7194536761262,0.133,2.38,inf,7958.701389094142,3611.7843540770655,inf,0.00043,1.2223099629457566e-07,2.1,18.2
FH_1660S036BHT,Faulhaber,1660S036BHT,BLDC,36.0,0.0104,1.1,0.000114,0.078,1.2e-07,3686.135380212024,0.09,1.58,inf,7958.701389094142,3637.96429285698,inf,0.00043,1.2223099629457566e-07,2.1,18.2
FH_1660S048BHT,Faulhaber,1660S048BHT,BLDC,48.0,0.0137,1.93,0.00020299999999999997,0.078,1.2e-07,3717.551306747922,0.069,1.18,inf,7958.701389094142,3672.521812046468,inf,0.00043,1.2223099629457566e-07,2.1,18.2
FH_2610T006B,Faulhaber,2610T006B,BLDC,6.0,0.0088,6.97,0.00048600000000000005,0.020100000000000003,7.9e-07,670.2064327658226,0.01,0.35600000000000004,inf,4188.790204786391,359.18876006043297,inf,3.5000000000000004e-05,8.451127478179644e-08,33.0,27.0
FH_2610T012B,Faulhaber,2610T012B,BLDC,12.0,0.0176,28.2,0.001945,0.020100000000000003,7.9e-07,670.2064327658226,0.005,0.177,inf,4188.790204786391,357.09436495803976,inf,3.5000000000000004e-05,8.451127478179644e-08,33.0,27.0
FH_1509T006B,Faulhaber,1509T006B,BLDC,6.0,0.00356,22.0,0.00057,0.006900000000000001,6.900000000000001e-08,1570.7963267948965,0.019,0.147,inf,4188.790204786391,613.6577650012063,inf,1.9e-05,3.2658594322456924e-08,65.0,45.0
FH_1509T012B,Faulhaber,1509T012B,BLDC,12.0,0.00713,92.7,0.002282,0.006900000000000001,6.900000000000001e-08,1560.3243512829306,0.009000000000000001,0.071,inf,4188.790204786391,581.1946409141118,inf,1.9e-05,3.2658594322456924e-08,65.0,45.0
